I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
155,157,HAN,Wang-Yong,Nan,SK,Nan,Nan,21,7,1998,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
156,158,KANG,Seong-Gyu,Nan,SK,Nan,Nan,21,7,1998,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
157,159,PARK,Young-Seok,Nan,SK,Nan,Nan,21,7,1998,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
158,160,RA,Kwang-Ju,Nan,SK,Nan,Nan,21,7,1998,Kinshofer (variant 1),SK,Hong Ki-Kun,Nan,
159,161,KITAMURA,Toshiyuki,Nan,Jp,Nan,Nan,6,8,1998,Kinshofer (variant 1),Jp,Toshiyuki Kitamura,Nan,
160,162,TANAHASHI,Yasushi,Nan,Jp,Nan,Nan,10,8,1998,Kinshofer (variant 1),Jp,Hideki Omiya (†),Nan,
161,163,FRAGA,Luis,Nan,E,Nan,Madrilian,10,8,1998,Kinshofer (variant 1),E,Luis Fraga,Nan,
162,164,GORDITO,José Isidro,Nan,E,Nan,Madrilian,10,8,1998,Kinshofer (variant 1),E,Luis Fraga,Nan,
163,165,GUGGEMOS,Peter,Nan,Ger,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
164,166,PORSCHE,Dieter Albin,Nan,Ger,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
165,167,CHRISTENSEN,Allan,Nan,DK,26,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
166,168,GRANLIEN,Mads,Nan,DK,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
167,169,TREMOULIERE,André,Nan,F,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
168,170,VINCENT,Michel,Nan,F,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
169,171,COFMAN,Nicalas,Nan,USA,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
170,172,HASSAN,Asad,Nan,Pak,Nan,Nan,2,7,1999,Kinshofer (variant 1),Internat,Peter Guggemos (Ger),Nan,
